                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.8872,                 1.6427,                 1.3572,                0.65217,                0.60115,                0.62773,                0.28565,                 1.8385,                 1.4539,                  1.336,               0.006403,               0.006403,               0.006403
                    112,                 1.8933,                 1.6482,                 1.3648,                0.65425,                0.59998,                0.62875,                 0.2858,                 1.8393,                 1.4531,                 1.3362,                0.00637,                0.00637,                0.00637
                    113,                 1.8922,                 1.6587,                 1.3622,                 0.6572,                0.59756,                0.62963,                0.28663,                 1.8405,                 1.4512,                 1.3361,               0.006337,               0.006337,               0.006337
                    114,                  1.894,                  1.655,                 1.3585,                0.66121,                0.59971,                0.63331,                0.28729,                  1.842,                  1.451,                  1.337,               0.006304,               0.006304,               0.006304
                    115,                 1.8805,                 1.6402,                 1.3533,                0.66737,                0.59875,                0.63339,                0.28717,                 1.8422,                 1.4514,                 1.3369,               0.006271,               0.006271,               0.006271
                    116,                 1.8845,                 1.6407,                 1.3591,                0.66739,                0.59684,                0.63194,                 0.2871,                 1.8419,                 1.4507,                 1.3366,               0.006238,               0.006238,               0.006238
                    117,                  1.884,                 1.6331,                 1.3533,                0.66632,                0.59828,                0.63241,                0.28763,                 1.8422,                 1.4502,                 1.3369,               0.006205,               0.006205,               0.006205
                    118,                 1.8923,                 1.6403,                 1.3555,                0.66775,                  0.599,                0.63175,                0.28785,                 1.8431,                 1.4487,                  1.337,               0.006172,               0.006172,               0.006172
                    119,                 1.8796,                 1.6308,                 1.3563,                0.66986,                0.59385,                0.63126,                 0.2881,                 1.8438,                 1.4479,                 1.3368,               0.006139,               0.006139,               0.006139
                    120,                 1.8948,                 1.6537,                 1.3587,                0.67341,                0.59313,                0.63221,                0.28847,                 1.8446,                 1.4451,                 1.3369,               0.006106,               0.006106,               0.006106
                    121,                 1.8716,                 1.6211,                 1.3521,                0.67266,                0.59703,                0.63198,                0.28732,                 1.8445,                 1.4439,                 1.3365,               0.006073,               0.006073,               0.006073
                    122,                 1.8723,                 1.6318,                 1.3537,                0.67145,                0.59254,                0.63153,                0.28728,                 1.8446,                 1.4435,                 1.3362,                0.00604,                0.00604,                0.00604
                    123,                 1.8791,                 1.6243,                 1.3532,                 0.6718,                0.59684,                0.63245,                0.28649,                 1.8449,                 1.4412,                 1.3358,               0.006007,               0.006007,               0.006007
                    124,                 1.8768,                 1.6289,                 1.3542,                0.67442,                0.59684,                  0.632,                0.28637,                 1.8444,                 1.4404,                 1.3354,               0.005974,               0.005974,               0.005974
                    125,                 1.8829,                 1.6241,                 1.3555,                0.67736,                0.59338,                0.63149,                0.28684,                 1.8448,                 1.4407,                 1.3356,               0.005941,               0.005941,               0.005941
                    126,                 1.8819,                 1.6261,                  1.353,                0.67703,                0.59469,                0.63121,                0.28697,                 1.8444,                 1.4396,                 1.3356,               0.005908,               0.005908,               0.005908
                    127,                 1.8752,                 1.6214,                 1.3541,                0.67963,                0.59182,                0.63148,                0.28712,                 1.8452,                 1.4392,                  1.336,               0.005875,               0.005875,               0.005875
                    128,                 1.8707,                  1.614,                 1.3464,                0.67689,                0.59182,                0.63191,                0.28707,                 1.8454,                 1.4373,                  1.336,               0.005842,               0.005842,               0.005842
                    129,                 1.8783,                 1.6149,                  1.352,                0.67839,                0.59165,                0.63239,                0.28687,                 1.8456,                 1.4362,                 1.3362,               0.005809,               0.005809,               0.005809
                    130,                 1.8728,                 1.6202,                 1.3462,                0.67802,                0.58914,                0.63289,                0.28641,                 1.8466,                 1.4344,                 1.3366,               0.005776,               0.005776,               0.005776
                    131,                 1.8652,                 1.6094,                 1.3491,                0.67589,                0.59039,                 0.6341,                0.28689,                 1.8461,                 1.4333,                 1.3367,               0.005743,               0.005743,               0.005743
                    132,                 1.8692,                  1.609,                 1.3447,                0.67404,                0.59189,                0.63418,                0.28625,                 1.8469,                 1.4311,                 1.3372,                0.00571,                0.00571,                0.00571
                    133,                 1.8741,                 1.6198,                 1.3469,                0.67969,                0.59326,                0.63438,                0.28624,                 1.8473,                 1.4305,                 1.3373,               0.005677,               0.005677,               0.005677
                    134,                 1.8645,                 1.6096,                 1.3436,                0.68146,                0.59397,                0.63497,                0.28621,                 1.8482,                  1.429,                 1.3374,               0.005644,               0.005644,               0.005644
                    135,                 1.8646,                  1.606,                  1.344,                0.67935,                0.59326,                0.63435,                0.28593,                  1.849,                 1.4266,                 1.3376,               0.005611,               0.005611,               0.005611
                    136,                 1.8618,                 1.6031,                 1.3414,                0.67627,                0.59326,                 0.6345,                0.28625,                 1.8492,                 1.4253,                  1.338,               0.005578,               0.005578,               0.005578
                    137,                 1.8668,                 1.6012,                 1.3411,                0.67489,                0.59418,                 0.6349,                0.28635,                 1.8502,                 1.4235,                 1.3386,               0.005545,               0.005545,               0.005545
                    138,                 1.8538,                 1.5898,                 1.3398,                0.67652,                0.59254,                0.63529,                0.28598,                 1.8499,                  1.423,                 1.3385,               0.005512,               0.005512,               0.005512
                    139,                 1.8609,                 1.6042,                 1.3391,                0.67301,                0.59397,                0.63553,                0.28665,                 1.8505,                 1.4217,                 1.3386,               0.005479,               0.005479,               0.005479
                    140,                 1.8567,                 1.5895,                 1.3392,                0.67136,                0.59613,                0.63606,                0.28667,                 1.8511,                 1.4203,                 1.3386,               0.005446,               0.005446,               0.005446
                    141,                 1.8584,                 1.5937,                 1.3353,                0.67304,                0.59613,                0.63816,                0.28727,                 1.8508,                 1.4188,                 1.3385,               0.005413,               0.005413,               0.005413
                    142,                 1.8676,                  1.604,                 1.3436,                0.66699,                0.59756,                0.63484,                0.28686,                 1.8501,                 1.4183,                 1.3385,                0.00538,                0.00538,                0.00538
                    143,                 1.8574,                 1.5984,                 1.3418,                0.66944,                0.59709,                0.63643,                0.28766,                 1.8496,                  1.419,                  1.338,               0.005347,               0.005347,               0.005347
                    144,                 1.8498,                 1.5843,                 1.3339,                0.67162,                0.59684,                0.63939,                 0.2891,                 1.8501,                 1.4171,                 1.3383,               0.005314,               0.005314,               0.005314
                    145,                 1.8565,                 1.5895,                  1.336,                0.66704,                  0.599,                0.63879,                0.28901,                 1.8501,                 1.4162,                 1.3381,               0.005281,               0.005281,               0.005281
                    146,                 1.8518,                 1.5777,                 1.3331,                0.67012,                0.59311,                0.63725,                0.28909,                 1.8496,                 1.4152,                 1.3374,               0.005248,               0.005248,               0.005248
                    147,                  1.847,                 1.5742,                  1.332,                0.66736,                0.59469,                0.63608,                0.28912,                 1.8503,                  1.415,                 1.3377,               0.005215,               0.005215,               0.005215
                    148,                 1.8494,                 1.5785,                 1.3346,                0.67372,                0.58213,                 0.6357,                0.28943,                 1.8525,                 1.4145,                 1.3384,               0.005182,               0.005182,               0.005182
                    149,                 1.8522,                 1.5833,                 1.3329,                0.67243,                0.58462,                0.63574,                0.28936,                 1.8533,                 1.4133,                  1.339,               0.005149,               0.005149,               0.005149
                    150,                 1.8445,                 1.5721,                 1.3296,                0.67266,                0.58321,                0.63606,                0.28877,                 1.8529,                 1.4118,                 1.3387,               0.005116,               0.005116,               0.005116
                    151,                 1.8514,                 1.5772,                 1.3291,                0.67861,                0.57676,                0.63487,                 0.2889,                 1.8531,                 1.4137,                 1.3379,               0.005083,               0.005083,               0.005083
