                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.6497,                 1.2911,                 1.3578,                0.69925,                0.65214,                0.70419,                0.33196,                 1.8177,                 1.2188,                 1.4404,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.6377,                 1.2761,                 1.3515,                0.70114,                0.65136,                0.70244,                0.33185,                 1.8189,                 1.2168,                   1.44,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.6369,                 1.2818,                 1.3561,                0.73143,                0.62195,                0.70265,                0.33236,                 1.8196,                 1.2149,                 1.4388,              0.0087724,              0.0087724,              0.0087724
                    127,                   1.64,                 1.2751,                 1.3507,                0.72459,                 0.6285,                 0.7036,                0.33248,                 1.8214,                 1.2144,                 1.4387,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.6392,                 1.2785,                 1.3507,                0.72221,                0.63415,                0.70341,                0.33257,                 1.8213,                 1.2119,                 1.4379,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.6298,                 1.2714,                 1.3447,                0.72435,                0.62772,                0.70214,                0.33291,                 1.8222,                 1.2116,                 1.4378,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.6311,                 1.2707,                   1.35,                0.73551,                0.61621,                0.70138,                0.33333,                 1.8221,                 1.2116,                 1.4377,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.6299,                 1.2712,                 1.3449,                0.74444,                0.61119,                0.70226,                0.33265,                 1.8215,                 1.2106,                 1.4365,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.6271,                 1.2636,                 1.3429,                0.74598,                0.61047,                0.70079,                0.33237,                 1.8226,                  1.211,                 1.4366,               0.008713,               0.008713,               0.008713
                    133,                 1.6288,                 1.2633,                 1.3406,                0.73132,                 0.6198,                 0.7013,                0.33222,                 1.8231,                 1.2105,                  1.435,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.6266,                 1.2633,                 1.3409,                0.72858,                 0.6198,                0.70148,                0.33239,                 1.8234,                 1.2088,                 1.4338,              0.0086932,              0.0086932,              0.0086932
                    135,                 1.6244,                 1.2624,                 1.3394,                0.74805,                0.60617,                0.70054,                0.33194,                  1.824,                 1.2101,                 1.4339,              0.0086833,              0.0086833,              0.0086833
                    136,                 1.6158,                 1.2567,                 1.3357,                 0.6963,                0.64472,                0.69842,                 0.3315,                 1.8251,                 1.2097,                 1.4343,              0.0086734,              0.0086734,              0.0086734
                    137,                 1.6256,                 1.2623,                 1.3436,                0.70368,                 0.6406,                0.69984,                0.33146,                 1.8269,                 1.2092,                  1.435,              0.0086635,              0.0086635,              0.0086635
                    138,                 1.6229,                 1.2586,                 1.3394,                0.71495,                 0.6363,                0.70177,                0.33202,                  1.827,                 1.2081,                 1.4345,              0.0086536,              0.0086536,              0.0086536
                    139,                 1.6238,                 1.2683,                 1.3414,                0.71613,                0.62978,                0.70066,                0.33113,                 1.8289,                 1.2086,                  1.435,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.6283,                 1.2601,                 1.3388,                0.71594,                 0.6274,                0.70088,                0.33191,                 1.8289,                 1.2061,                 1.4344,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.6242,                 1.2499,                 1.3348,                 0.7101,                0.63434,                0.70053,                0.33228,                 1.8302,                 1.2051,                 1.4348,              0.0086239,              0.0086239,              0.0086239
                    142,                  1.615,                 1.2415,                 1.3334,                0.70903,                0.63917,                0.70054,                  0.332,                 1.8304,                 1.2031,                 1.4341,               0.008614,               0.008614,               0.008614
                    143,                 1.6078,                 1.2398,                 1.3339,                0.70672,                0.64133,                0.69956,                0.33146,                 1.8316,                 1.2043,                 1.4344,              0.0086041,              0.0086041,              0.0086041
                    144,                 1.6174,                 1.2427,                 1.3296,                0.69764,                0.64778,                0.69812,                0.33073,                 1.8328,                 1.2033,                 1.4344,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.6172,                 1.2404,                 1.3327,                0.70046,                0.64419,                0.69799,                0.33054,                  1.834,                  1.204,                 1.4341,              0.0085843,              0.0085843,              0.0085843
